Benchmark,Hipster found,Hipster < TheSy,TheSy found,TheSy < Hipster,TheSy Time,Hipster Time
Prop_20,7,3,3,2,0.596513873,1424.082553
Prop_21,12,0,24,0,824.390544443,213.317341
Prop_22,5,5,13,0,2200.244523398,180.211175
Prop_23,5,5,13,0,9.382830309,173.392655
Prop_01,2,2,16,0,1498.718834978,837.305445
Prop_02,11,9,30,1,15.018848322,1158.89443
Prop_03,9,5,15,3,6.748540379,665.912464
Prop_04,3,1,7,1,4.83376324,293.202383
Prop_05,4,2,8,1,3.939699992,303.475094
Prop_06,11,1,19,0,3600,310.060106
Prop_07,11,2,21,0,3600,312.827083
Prop_08,11,2,18,0,3600,315.612913
Prop_09,11,2,19,0,3600,305.37079
Prop_10,5,4,7,3,4.298055629,525.465531
Prop_11,0,0,5,0,0.43498618200000005,101.706897
Prop_12,0,0,7,0,1.277789679,87.480647
Prop_13,0,0,5,0,0.517679146,78.729941
Prop_14,1,1,3,0,0.058033527,288.302426
Prop_15,7,2,3,1,0.44663074300000005,826.846836
Prop_16,0,0,2,0,0.010747767,163.34399
Prop_17,8,4,13,3,0.24262882300000002,102.492316
Prop_18,12,0,23,0,3600,249.932862
Prop_19,6,4,13,0,35.461533002,1082.597477
Prop_24,15,7,25,3,7.79259931,342.564362
Prop_25,15,7,28,4,5.925828526,323.531509
Prop_26,0,0,11,0,0.379333911,264.431038
Prop_27,0,0,11,0,0.40784478700000004,291.122811
Prop_28,0,0,10,0,0.43404999600000005,275.28962
Prop_29,6,2,8,1,0.335782499,669.329555
Prop_30,8,3,14,2,0.466041156,1114.549766
Prop_31,4,2,6,0,0.220358256,68.123381
Prop_32,4,2,7,0,0.232668693,67.13216
Prop_33,16,9,32,4,3.476737735,258.681404
Prop_34,16,9,29,5,2.35666607,259.913768
Prop_35,0,0,0,0,0.002003117,6.544759
Prop_36,0,0,0,0,0.0021172440000000003,5.98951
Prop_37,7,2,8,1,0.40957191400000004,493.872165
Prop_38,5,0,10,0,4.291556928,730.238175
Prop_39,10,9,32,1,1156.116173364,591.441925
Prop_40,1,1,5,0,79.570164377,274.761826
Prop_41,1,1,7,0,682.608982477,279.423747
Prop_42,1,1,5,0,107.32105621,298.533363
Prop_43,1,1,3,0,0.110498651,289.49962
Prop_44,0,0,3,0,0.284175556,8.175482
Prop_45,0,0,1,0,0.086874742,6.881659
Prop_47,7,5,14,0,13.175360559,201.646865
Prop_48,0,0,5,0,0.7393304390000001,136.289506
Prop_49,0,0,17,0,2973.031754594,324.188956
Prop_50,11,7,21,0,3600,1406.885363
Prop_51,0,0,3,0,0.17468276700000002,100.300413
Prop_52,6,0,14,0,28.862268511,1035.61848
Prop_53,8,4,13,3,12.050522058,1171.737868
Prop_54,11,9,18,3,3600,298.496715
Prop_55,7,6,19,0,492.121697884,1462.489522
Prop_56,5,5,14,0,1621.398058637,289.979388
Prop_57,6,5,17,0,96.697351538,1044.211085
Prop_58,0,0,6,0,1.83093424,102.573821
Prop_59,0,0,5,0,0.065873236,109.232261
Prop_60,0,0,5,0,0.12331328700000001,107.068503
Prop_61,2,1,15,0,0.17896577700000002,1192.944056
Prop_62,0,0,2,0,0.011031196,182.467021
Prop_63,6,2,11,1,4.9206297150000005,1064.528015
Prop_64,0,0,5,0,0.066527661,126.163918
Prop_65,12,8,23,1,3600,217.089206
Prop_66,5,3,3,2,0.374890777,172.790639
Prop_67,6,4,7,3,87.77886569,890.168469
Prop_68,10,4,18,3,0.895534359,379.000377
Prop_69,12,10,22,2,3600,275.578032
Prop_70,5,3,3,2,0.117098454,50.491908
Prop_71,8,3,13,2,0.5440943500000001,886.396879
Prop_72,12,8,23,0,3600,2397.741936
Prop_73,2,2,6,0,4.593655997,574.273864
Prop_74,11,2,22,0,3600,2590.696147
Prop_75,10,8,31,1,777.95221527,550.432214
Prop_76,5,3,11,1,4.112554221,701.083246
Prop_77,5,0,17,0,3600,1034.303164
Prop_78,6,1,12,0,495.269719073,1608.115337
Prop_79,5,3,4,3,0.8960227340000001,447.427672
Prop_80,9,2,19,0,3600,1361.049587
Prop_81,6,6,21,0,3600,787.765798
Prop_82,1,1,10,0,43.255459107,256.496197
Prop_83,4,3,26,0,3600,1249.995927
Prop_84,4,2,21,0,185.33697846,1246.714385
Prop_85,3,3,15,0,7.178573169,1288.551592
Prop_86,8,3,15,2,0.520658869,883.799266
